nume_actiune,timestamp,thread_name
DATE_CSV_CITITE,2020-04-27 21:46:53.084,main
AFISARE_IERARHIE,2020-04-27 21:46:53.094,main
DATE_CSV_SCRISE,2020-04-27 21:46:53.129,main
DATE_CSV_CITITE,2020-04-29 23:18:25.288,main
AFISARE_IERARHIE,2020-04-29 23:18:25.298,main
DATE_CSV_SCRISE,2020-04-29 23:18:25.345,main
